,soup
1724,"['mel brooks', 'rick moranis', 'bill pullman', 'daphne zuniga', 'john candy'] mel brooks ['android', 'lasergun', 'swordplay', 'temple', 'space marine'] when the nefarious dark helmet hatches a plan to snatch princess vespa and steal her planet's air, space-bum-for-hire lone starr and his clueless sidekick fly to the rescue. along the way, they meet yogurt, who puts lone starr wise to the power of ""the schwartz."" can he master it in time to save the day? spaceballs  ['comedy', 'sci-fi']"
1725,"['timothy dalton', ""maryam d'abo"", 'jeroen krabbã©', 'joe don baker', 'john rhys-davies'] john glen ['london', 'smuggling of arms', 'prison', 'england', 'assassination'] james bond helps a russian general escape into the west. he soon finds out that the kgb wants to kill him for helping the general. a little while later the general is kidnapped from the secret service leading 007 to be suspicious. living daylights, the  ['action', 'adventure', 'thriller']"
1726,"['peter weller', 'nancy allen', 'ronny cox', 'kurtwood smith', 'miguel ferrer'] paul verhoeven ['cyborg', 'crime fighter', 'dystopia', 'weapon', 'detroit'] in a dystopic, future crime-ridden detroit controlled by a powerful corporation, a terminally wounded cop returns to the force as a company-owned cyborg with submerged memories haunting him. robocop  ['action', 'crime', 'drama', 'sci-fi', 'thriller']"
1727,"['bruce campbell', 'sarah berry', 'dan hicks', 'kassie depaiva', 'denise bixler'] sam raimi ['deer', 'blood splatter', 'tape recorder', 'spoof', 'chainsaw'] ash williams and his girlfriend linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from â€œthe book of the dead.â€ as they play the recording an evil power is unleashed taking over lindaâ€™s body. evil dead ii (dead by dawn)  ['action', 'comedy', 'fantasy', 'horror']"
1728,"['mel gibson', 'danny glover', 'gary busey', 'mitchell ryan', 'tom atkins'] richard donner ['car through wall', 'running over a fire hydrant', 'house trailer'] veteran buttoned-down lapd detective roger murtaugh is partnered with unhinged cop martin riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. the odd couple embark on their first homicide investigation as partners, involving a young woman known to murtaugh with ties to a drug and prostitution ring. lethal weapon  ['action', 'comedy', 'crime', 'drama']"
1729,"['arnold schwarzenegger', 'richard dawson', 'marã\xada conchita alonso', 'yaphet kotto', 'jim brown'] paul michael glaser ['prison', 'chase', 'hunting human beings', 'game show', 'dystopia'] by 2017, the global economy has collapsed and american society has become a totalitarian police state, censoring all cultural activity. the government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style the running man, hosted by the ruthless damon killian, where â€œrunnersâ€ attempt to evade â€œstalkersâ€ and certain death for a chance to be pardoned and set free. running man, the  ['action', 'sci-fi']"
1730,"['cary elwes', 'robin wright', 'mandy patinkin', 'andrã© the giant', 'chris sarandon'] rob reiner ['swashbuckler', 'evil prince', 'reference to socrates', 'reference to plato', 'screwball'] in this enchantingly cracked fairy tale, the beautiful princess buttercup and the dashing westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, sicilians and rodents of unusual size. but even death can't stop these true lovebirds from triumphing. princess bride, the  ['action', 'adventure', 'comedy', 'fantasy', 'romance']"
1731,"['robert englund', 'patricia arquette', 'heather langenkamp', 'john saxon', 'craig wasson'] chuck russell ['killing', 'asylum', 'nightmare', 'slasher'] it's been many years since freddy krueger's first victim, nancy, came face-to-face with freddy and his sadistic, evil ways. now, nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. too bad freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide. nightmare on elm street 3: dream warriors, a  ['horror', 'thriller']"
1732,"['charlie sheen', 'michael douglas', 'martin sheen', 'daryl hannah', 'john c. mcginley'] oliver stone ['power', 'fraud', 'broker', 'wall street', 'finances'] a young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing. wall street  ['drama']"
1733,"['eddie murphy', 'judge reinhold', 'john ashton', 'ronny cox', 'paul reiser'] tony scott ['smuggling of arms', 'detective', 'intensive care', 'undercover', 'strip club'] axel foley is back and as funny as ever in this fast-paced sequel to the original smash hit. this time, the detroit cop heads for the land of sunshine and palm trees to find out who shot police captain andrew bogomil. thanks to a couple of old friends, axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin, and the chase is on! beverly hills cop ii  ['action', 'comedy', 'crime', 'thriller']"
1734,"['christopher reeve', 'margot kidder', 'gene hackman', 'jackie cooper', 'marc mcclure'] sidney j. furie ['saving the world', 'dc comics', 'mountains', 'nuclear missile', 'us army'] with global superpowers engaged in an increasingly hostile arms race, superman leads a crusade to rid the world of nuclear weapons. but lex luthor, recently sprung from jail, is declaring war on the man of steel and his quest to save the planet. using a strand of superman's hair, luthor synthesizes a powerful ally known as nuclear man and ignites an epic battle spanning earth and space. superman iv: the quest for peace  ['action', 'adventure', 'sci-fi']"
1735,"['nicolas cage', 'holly hunter', 'trey wilson', 'john goodman', 'william forsythe'] joel coen ['baby', 'supermarket', 'arizona', 'pregnancy and birth', 'coen bros'] the coen brothers tell the story of a absurd yet likable family with an unproductive couple as the focal point. the couple has gotten themselves into some trouble while kidnapping a baby and give hollywood one of the most memorable chase scenes to date. raising arizona  ['comedy']"
1736,"['kevin costner', 'sean connery', 'robert de niro', 'andy garcã\xada', 'charles martin smith'] brian de palma ['white suit', 'al capone', 'tough cop', 'treasury agent', 'untouchable'] young treasury agent elliot ness arrives in chicago and is determined to take down al capone but it's not going to be easy, because capone has the police in his pocket. ness meets jimmy malone a veteran patrolman and probably the most honorable one in the force. he asks malone to help him get capone but malone warns him that if he goes after capone, he is going to war. untouchables, the  ['action', 'crime', 'drama']"
1737,"['robin williams', 'forest whitaker', 'tung thanh tran', 'chintara sukapatana', 'bruno kirby'] barry levinson ['rock and roll', 'radio station', 'war crimes', 'entertainer', 'explosive'] an unorthodox and irreverent dj begins to shake up things when he is assigned to the us armed services radio station in vietnam. good morning, vietnam  ['comedy', 'drama', 'war']"
1738,"['john lone', ""peter o'toole"", 'joan chen', 'dennis dun', 'ryuichi sakamoto'] bernardo bertolucci ['buddhism', 'japan', 'suicide', 'china', 'suicide attempt'] a dramatic history of pu yi, the last of the emperors of china, from his lofty birth and brief reign in the forbidden city, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading japanese, and finally to his obscure existence as just another peasant worker in the people's republic. last emperor, the  ['drama']"
1739,"['michael douglas', 'glenn close', 'anne archer', 'ellen hamilton latzen', 'jane krakowski'] adrian lyne ['sexual obsession', 'wife husband relationship', 'deceived wive', 'marriage crisis', 'suspense'] a married man's one night stand comes back to haunt him when that lover begins to stalk him and his family. fatal attraction  ['drama', 'thriller']"
1740,"['martin short', 'dennis quaid', 'meg ryan', 'kevin mccarthy', 'fiona lewis'] joe dante ['experiment', 'shrinking', 'blood'] test pilot tuck pendleton volunteers to test a special vessel for a miniaturization experiment. accidentally injected into a neurotic hypochondriac, jack putter, tuck must convince jack to find his ex-girlfriend, lydia maxwell, to help him extract tuck and his ship and re-enlarge them before his oxygen runs out. innerspace  ['action', 'adventure', 'comedy', 'sci-fi']"
1741,"['steve martin', 'john candy', 'laila robins', 'michael mckean', 'dylan baker'] john hughes ['thanksgiving', 'receptionist', 'slob', 'st. louis missouri', 'double take'] a man must struggle to travel home for thanksgiving, with an obnoxious slob of a shower ring salesman his only companion. planes, trains & automobiles  ['comedy']"
1742,"['jason patric', 'corey haim', 'corey feldman', 'dianne wiest', 'kiefer sutherland'] joel schumacher ['street gang', 'vampire', 'comic book', 'boardwalk', 'singles'] a mother and her two teenage sons move to a seemingly nice and quiet small coastal california town yet soon find out that it's overrun by bike gangs and vampires. a couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town. lost boys, the  ['comedy', 'horror', 'thriller']"
1743,"['jack nicholson', 'cher', 'susan sarandon', 'michelle pfeiffer', 'veronica cartwright'] george miller ['witch', 'new england'] three single women in a picturesque village have their wishes granted - at a cost - when a mysterious and flamboyant man arrives in their lives. witches of eastwick, the  ['comedy', 'fantasy', 'horror', 'thriller']"
1744,"['william hurt', 'albert brooks', 'holly hunter', 'robert prosky', 'lois chiles'] james l. brooks ['journalist', 'journalism', 'workaholic', 'news broadcast', 'television'] basket-case network news producer jane craig falls for new reporter tom grunnick, a pretty boy who represents the trend towards entertainment news she despises. aaron altman, a talented but plain correspondent, carries an unrequited torch for jane. sparks fly between the three as the network prepares for big changes, and both the news and jane must decide between style and substance. broadcast news  ['comedy', 'drama', 'romance']"
1745,"['eric stoltz', 'mary stuart masterson', 'lea thompson', 'chynna phillips', 'craig sheffer'] howard deutch ['school', 'teen movie', 'best friend', 'tomboy', 'female drummer'] a young tomboy, watts, finds her feelings for her best friend, keith, run deeper than just friendship when he gets a date with the most popular girl in school. some kind of wonderful  ['drama', 'romance']"
1746,"['elisabeth shue', 'maia brewton', 'keith coogan', 'anthony rapp', 'calvin levels'] chris columbus ['blues', 'unfaithful boyfriend', 'one night', 'playboy magazine', 'suburbanite'] when plans with her boyfriend fall through, high school senior chris parker ends up babysitting the anderson kids, brad and sara. what should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up chris' friend brenda. soon, brad's buddy daryl is involved, and the group must contend with car thieves, blues musicians and much more. adventures in babysitting  ['adventure', 'comedy']"
1747,"['steve martin', 'daryl hannah', 'rick rossovich', 'shelley duvall', 'john kapelos'] fred schepisi ['firemen', 'love letter', 'inferiority complex', 'nose', 'rival'] based on the play ""cyrano de bergerac"", large nosed c.d. bales falls for the beautiful roxanne while she falls for his personality but another man's looks. roxanne  ['comedy', 'romance']"
1748,"['christian bale', 'john malkovich', 'miranda richardson', 'nigel havers', 'ben stiller'] steven spielberg ['japan', 'stadium', 'harmonica', 'bravery', 'peasant'] the story of young english boy who lives with his parents in shanghai during world war ii. after the pearl harbor attack, the japanese occupy the shanghai international settlement, and in the following chaos jim becomes separated from his parents. empire of the sun  ['action', 'adventure', 'drama', 'war']"
1749,"['john lithgow', 'melinda dillon', 'margaret langrick', 'joshua rudoy', 'kevin peter hall'] william dear ['bad smell', 'bigfoot', 'vegetarian', 'hamburger', 'hunting trip'] returning from a hunting trip in the forest, the henderson family's car hits an animal in the road. at first they fear it was a man, but when they examine the ""body"" they find it's a ""bigfoot"". they think it's dead so they decide to take it home (there could be some money in this). as you guessed, it isn't dead. far from being the ferocious monster they fear ""harry"" to be, he's a friendly giant. harry and the hendersons  ['children', 'comedy']"
1750,"['tom selleck', 'steve guttenberg', 'ted danson', 'nancy travis', 'margaret colin'] leonard nimoy ['baby', 'roommate', 'bachelor', 'party', 'windeln'] three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends. three men and a baby  ['comedy']"
1751,"['andrew robinson', 'clare higgins', 'ashley laurence', 'sean chapman', 'oliver smith'] clive barker ['underworld', 'seduction', 'pinhead', 'revenge', 'undead'] larry and his wife, julia move into an old house and discover a hideous creature - the man's half-brother, who is also the woman's former lover - hiding upstairs. having lost his earthly body to a trio of s&amp;m demons, the cenobites, frank, is brought back into existence by a drop of blood on the floor. he soon forces his former mistress to bring him his necessary human sacrifices to complete his body... but the cenobites won't be happy about this. hellraiser  ['horror']"
1752,"['danny devito', 'billy crystal', 'kim greist', 'anne ramsey', 'kate mulgrew'] danny devito ['mother', 'murder', 'train', 'ex-wife'] larry donner is a author and writing professor who tutors people who want to write books. larry's life has become a misery when his ex-wife has published a book he wrote under her name and has gotten rich over it. owen lift, one of larry's students offers larry to kill larry's ex-wife and in return owen wants larry to kill his horrible mother. larry thinks it is a joke, until he learns owen killed his ex-wife and he has become the prime suspect. throw momma from the train  ['comedy', 'crime']"
1753,"['cher', 'nicolas cage', 'vincent gardenia', 'olympia dukakis', 'danny aiello'] norman jewison ['new york', 'love letter', 'lover', 'full moon'] cher is devastatingly funny, sinuous and beautiful as loretta, an unlucky-in-love italian widow who finds romance through the intervention of the manhattan moon. with her wedding to a close friend just weeks away, she meets - and falls hopelessly in love with - his younger brother (cage)! moonstruck  ['comedy', 'romance']"
1754,"['keir dullea', 'douglas rain', 'gary lockwood', 'william sylvester', 'daniel richter'] stanley kubrick ['moon', 'jupiter', 'artificial intelligence', 'man vs machine', 'technology'] humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of hal 9000, the world's most advanced super computer. 2001: a space odyssey  ['adventure', 'drama', 'sci-fi']"
1755,"['charlton heston', 'roddy mcdowall', 'kim hunter', 'maurice evans', 'james daly'] franklin j. schaffner ['human evolution', 'gorilla', 'bondage', 'space marine', 'chimp'] taylor and two other astronauts come out of deep hibernation to find that their ship has crashed. escaping with little more than clothes they find that they have landed on a planet where men are pre-lingual and uncivilized while apes have learned speech and technology. taylor is captured and taken to the city of the apes after damaging his throat so that he is silent and cannot communicate with the apes. planet of the apes  ['action', 'drama', 'sci-fi']"
1756,"['duane jones', ""judith o'dea"", 'karl hardman', 'marilyn eastman', 'keith wayne'] george a. romero ['loss of father', 'siblings', 'midnight movie', 'zombies'] a group of people try to survive an attack of bloodthirsty zombies while trapped in a rural pennsylvania farmhouse. although not the first zombie film, night of the living dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype. night of the living dead  ['horror', 'sci-fi', 'thriller']"
1757,"['mia farrow', 'john cassavetes', 'ruth gordon', 'sidney blackmer', 'maurice evans'] roman polanski ['commercial', 'anti-christ', 'contemporary setting', 'laundry', 'occult'] a young couple moves into an infamous new york apartment building to start a family. things become frightening as rosemary begins to suspect her unborn baby isn't safe around their strange neighbors. rosemary's baby  ['drama', 'horror', 'thriller']"
1758,"['paul angelis', 'john lennon', 'paul mccartney', 'george harrison', 'ringo starr'] george dunning ['submarine', 'fab four', 'colours', 'music', 'blase'] the blue meanies take over pepperland, draining it of all its color and music, firing anti-music missiles, bonking people with green apples, and turning the inhabitants to stone by way of the pointed finger of a giant white glove. as the only survivor, the lord admiral escapes in the yellow submarine and goes to london to enlist the help of the beatles. yellow submarine  ['adventure', 'animation', 'comedy', 'fantasy', 'musical']"
1759,"['jack lemmon', 'walter matthau', 'john fiedler', 'herb edelman', 'david sheiner'] gene saks ['roommate', 'friends', 'apartment', 'neurotic'] felix ungar has just broken up with his wife. despondent, he goes to kill himself but is saved by his friend oscar madison. with nowhere else to go, felix is urged by oscar to move in with him, at least for a while. the only problem is that felix is neat, tidy, and neurotic, whereas oscar is slovenly and casual. odd couple, the  ['comedy']"
1760,"['leonard whiting', 'olivia hussey', 'john mcenery', 'michael york', ""milo o'shea""] franco zeffirelli ['male nudity', 'new love', 'lover (female)', ""love of one's life"", 'forbidden love'] director franco zeffirelli's beloved version of one of the most well-known love stories in the english language. romeo montague and juliet capulet fall in love against the wishes of their feuding families. driven by their passion, the young lovers defy their destiny and elope, only to suffer the ultimate tragedy. romeo and juliet  ['drama', 'romance']"
1761,"['dick van dyke', 'sally ann howes', 'lionel jeffries', 'gert frã¶be', 'anna quayle'] ken hughes ['flying car', 'fantasy', 'oldtimer', 'fantastic'] an eccentric professor invents wacky machinery, but can't seem to make ends meet. when he invents a revolutionary car, a foreign government becomes interested in it, and resorts to skulduggery to get their hands on it. chitty chitty bang bang  ['adventure', 'children', 'comedy', 'fantasy', 'musical']"
1762,"['al pacino', 'robert duvall', 'diane keaton', 'robert de niro', 'john cazale'] francis ford coppola ['italo-american', 'cuba', 'vororte', 'melancholy', 'praise'] in the continuing saga of the corleone crime family, a young vito corleone grows up in sicily and in 1910s new york. in the 1950s, michael corleone attempts to expand the family business into las vegas, hollywood and cuba. godfather: part ii, the  ['crime', 'drama']"
1763,"['jack nicholson', 'faye dunaway', 'john huston', 'perry lopez', 'john hillerman'] roman polanski ['rape', 'sea', 'river', 'chinatown', 'mistake in person'] private eye jake gittes lives off the murky moral climate of sunbaked, pre-world war ii southern california. hired by a beautiful socialite to investigate her husband's extra-marital affair, gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together. chinatown  ['crime', 'film-noir', 'mystery', 'thriller']"
1764,"['roger moore', 'christopher lee', 'britt ekland', 'maud adams', 'hervã© villechaize'] guy hamilton ['london', 'england', 'martial arts', 'assassin', 'exotic island'] a golden bullet has 007 engraved on it as it smashes into the secret service headquarters. the bullet came from the professional killer scaramanga who has yet to miss a target and james bond begins a mission to try and stop him. man with the golden gun, the  ['action', 'adventure', 'thriller']"
1765,"['gene wilder', 'peter boyle', 'marty feldman', 'madeline kahn', 'cloris leachman'] mel brooks ['experiment', 'castle', 'assistant', 'bride', 'frankenstein'] a young neurosurgeon inherits the castle of his grandfather, the famous dr. victor von frankenstein. in the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. young frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind. young frankenstein  ['comedy', 'fantasy']"
1766,"['allen danziger', 'paul a. partain', 'william vail', 'teri mcminn', 'edwin neal'] tobe hooper ['texas', 'chain saw', 'gore', 'midnight movie', 'surprise ending'] five friends visiting their grandfather's house in the country are hunted and terrorized by a chain-saw wielding killer and his family of grave-robbing cannibals. texas chainsaw massacre, the  ['horror']"
1767,"['gene hackman', 'john cazale', 'frederic forrest', 'cindy williams', 'harrison ford'] francis ford coppola ['san francisco', 'paranoia', 'audio tape', 'wiretap', 'shadowing'] surveillance expert harry caul (gene hackman) is hired by a mysterious client's brusque aide (harrison ford) to tail a young couple, mark (frederic forrest) and ann (cindy williams). tracking the pair through san francisco's union square, caul and his associate stan (john cazale) manage to record a cryptic conversation between them. tormented by memories of a previous case that ended badly, caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger. conversation, the  ['drama', 'mystery']"
1768,"['cleavon little', 'gene wilder', 'harvey korman', 'slim pickens', 'madeline kahn'] mel brooks ['saloon', 'governor', 'marching band', 'comedy', 'western'] a town â€“ where everyone seems to be named johnson â€“ is in the way of the railroad and, in order to grab their land, hedley lemar, a politically connected nasty person, sends in his henchmen to make the town unlivable. after the sheriff is killed, the town demands a new sheriff from the governor, so hedley convinces him to send the town the first black sheriff in the west. blazing saddles  ['comedy', 'western']"
1769,"['jack nicholson', 'louise fletcher', 'danny devito', 'william redfield', 'scatman crothers'] miloå¡ forman ['individual', 'rebel', 'self-destruction', 'wheelchair', 'lunatic asylum'] while serving time for insanity at a state mental hospital, implacable rabble-rouser, randle patrick mcmurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, mildred ratched. one flew over the cuckoo's nest  ['drama']"
1770,"['roy scheider', 'robert shaw', 'richard dreyfuss', 'lorraine gary', 'murray hamilton'] steven spielberg ['fishing', 'atlantic ocean', 'bathing', 'shipwreck', 'police chief'] an insatiable great white shark terrorizes the townspeople of amity island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast. jaws  ['action', 'horror']"
1771,"['graham chapman', 'john cleese', 'eric idle', 'michael palin', 'terry gilliam'] terry gilliam|terry jones ['holy grail', 'monk', 'scotland yard', 'swordplay', 'camelot'] monty python and the holy grail loosely follows the legend of king arthur. arthur along with his squire, patsy, recruits his knights of the round table, including sir bedevere the wise, sir lancelot the brave, sir robin the not-quite-so-brave-as-sir-lancelot and sir galahad the pure. on the way arthur battles the black knight who, despite having had all his limbs chopped off, insists he can still fight. they reach camelot, but arthur decides not  to enter, as ""it is a silly place"". monty python and the holy grail  ['adventure', 'comedy', 'fantasy']"
1772,"['tim curry', 'susan sarandon', 'barry bostwick', ""richard o'brien"", 'patricia quinn'] jim sharman ['transvestism', 'transylvania', 'marriage proposal', 'time warp', 'castle'] sweethearts brad and janet, stuck with a flat tire during a storm, discover the eerie mansion of dr. frank-n-furter, a transvestite scientist. as their innocence is lost, brad and janet meet a houseful of wild characters, including a rocking biker and a creepy butler. through elaborate dances and rock songs, frank-n-furter unveils his latest creation: a muscular man named 'rocky'. rocky horror picture show, the  ['comedy', 'horror', 'musical', 'sci-fi']"
1773,"['peter sellers', 'christopher plummer', 'herbert lom', 'catherine schell', 'peter arne'] blake edwards ['robbery', 'diamant', ""cã´te d'azur"", 'inspector', 'panther'] the famous pink panther jewel has once again been stolen and inspector clouseau is called in to catch the thief. the inspector is convinced that 'the phantom' has returned and utilises all of his resources â€“ himself and his asian manservant â€“ to reveal the identity of 'the phantom'. return of the pink panther, the  ['comedy', 'crime']"
1774,"['sean connery', 'michael caine', 'christopher plummer', 'saeed jaffrey', 'doghmi larbi'] john huston ['robbery', 'journalist', 'gold', 'cheating', 'treasure'] a robust adventure about two british adventurers who take over primitive kafiristan as ""godlike"" rulers, meeting a tragic end through their desire for a native girl. based on a short story by rudyard kipling. man who would be king, the  ['adventure', 'drama']"
1775,"['robert redford', 'faye dunaway', 'cliff robertson', 'max von sydow', 'john houseman'] sydney pollack ['cia', 'office', 'condor'] a bookish cia researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust. three days of the condor (3 days of the condor)  ['drama', 'mystery', 'romance', 'thriller']"
1776,"['katharine ross', 'paula prentiss', 'nanette newman', 'judith baldwin', 'peter masterson'] bryan forbes ['suspense', 'independent film', 'cult film', 'stepford wife', 'duringcreditsstinger'] the urban aspirant photographer joanna eberhart moves from manhattan to stepford, connecticut with her family. her husband walter eberhart decided to live in a calm suburb, but joanna did not like the neighborhood with beautiful and perfect housewives. she becomes friend of bobbie markowe and charmaine wimperis, and when they change joanna tries to escape. stepford wives, the  ['mystery', 'sci-fi', 'thriller']"
1777,"['al pacino', 'john cazale', 'charles durning', 'chris sarandon', 'james broderick'] sidney lumet ['bank', 'hostage', 'police', 'sex change', 'one day'] a man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus. dog day afternoon  ['crime', 'drama']"
1778,"['sean connery', 'ursula andress', 'joseph wiseman', 'jack lord', 'bernard lee'] terence young ['london', 'england', 'assassination', 'spy', 'casino'] in the film that launched the james bond saga, agent 007 (sean connery) battles mysterious dr. no, a scientific genius bent on destroying the u.s. space program. as the countdown to disaster begins, bond must go to jamaica, where he encounters beautiful honey ryder (ursula andress), to confront a megalomaniacal villain in his massive island headquarters. dr. no  ['action', 'adventure', 'thriller']"
1779,"[""peter o'toole"", 'alec guinness', 'anthony quinn', 'jack hawkins', 'omar sharif'] david lean ['cairo', 'arabian', 'world war i', 'horse', 'jerusalem'] an epic about british officer t.e. lawrence's mission to aid the arab tribes in their revolt against the ottoman empire during the first world war. lawrence becomes a flamboyant, messianic figure in the cause of arab unity but his psychological instability threatens to undermine his achievements. lawrence of arabia  ['adventure', 'drama', 'war']"
1780,"['gregory peck', 'john megna', 'frank overton', 'rosemary murphy', 'ruth white'] robert mulligan ['black people', 'based on novel', 'brother sister relationship', 'becoming an adult', 'isolation'] in a small alabama town in the 1930s, scrupulously honest and highly respected lawyer, atticus finch puts his career on the line when he agrees to represent tom robinson, a black man accused of rape. the trial and the events surrounding it are seen through the eyes of finch's six-year-old daughter, scout. while robinson's trial gives the movie its momentum, there are plenty of anecdotal occurrences before and after the court date: scout's ever-strengthening bond with older brother, jem, her friendship with precocious young dill harris, her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog, and especially scout's reactions to, and relationship with, boo radley, the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot. to kill a mockingbird  ['drama']"
1781,"['frank sinatra', 'laurence harvey', 'angela lansbury', 'janet leigh', 'henry silva'] john frankenheimer ['u.s. president', 'cold war', 'communist', 'corean war', 'manchuria'] the manchurian candidate is a political thriller from american director john frankenheimer. an american soldier is brainwashed into being a killer for the communist russians during the korean war. manchurian candidate, the  ['crime', 'thriller', 'war']"
1782,"['gregory peck', 'robert mitchum', 'polly bergen', 'lori martin', 'martin balsam'] j. lee thompson ['poison', 'small town', 'boat', 'ex-detainee', 'psychopath'] sam bowden witnesses a rape committed by max cady and testifies against him. when released after 8 years in prison, cady begins stalking bowden and his family but is always clever enough not to violate the law. cape fear  ['crime', 'drama', 'thriller']"
1783,"['eddie albert', 'paul anka', 'arletty', 'jean-louis barrault', 'richard beymer'] ken annakin|andrew marton|bernhard wicki ['world war ii', 'normandy', 'allied', 'widerstand', 'steel helmet'] the retelling of june 6, 1944, from the perspectives of the germans, the us, britain, and the free french. marshall erwin rommel, touring the defenses being established as part of the reich's atlantic wall, notes to his officers that when the allied invasion comes they must be stopped on the beach. ""for the allies as well as the germans, it will be the longest day"" longest day, the  ['action', 'drama', 'war']"
1784,"['sean connery', 'honor blackman', 'gert frã¶be', 'shirley eaton', 'tania mallet'] guy hamilton ['secret organization', 'secret intelligence service', 'nuclear radiation', 'fort knox', 'aston martin'] special agent 007 (sean connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid fort knox -- and obliterate the world's economy. goldfinger  ['action', 'adventure', 'thriller']"
1785,"['peter sellers', 'george c. scott', 'sterling hayden', 'keenan wynn', 'slim pickens'] stanley kubrick ['u.s. president', 'general', 'cold war', 'strategic air command', 'nuclear missile'] an insane general starts a process to nuclear holocaust that a war room of politicians and generals frantically try to stop. a classic black and white war satire from director stanley kubrick starring peter sellers. dr. strangelove or: how i learned to stop worrying and love the bomb  ['comedy', 'war']"
1786,"['julie andrews', 'dick van dyke', 'david tomlinson', 'glynis johns', 'hermione baddeley'] robert stevenson ['london', 'dancing', 'parents kids relationship', 'bank', 'brother sister relationship'] the movie combines a diverting story, songs, color and sequences of live action blended with the movements of animated figures. mary poppins is a kind of super-nanny who flies in with her umbrella in response to the request of the banks children and proceeds to put things right with the aid of her rather extraordinary magical powers before flying off again. mary poppins  ['children', 'comedy', 'fantasy', 'musical']"
1787,"['john lennon', 'paul mccartney', 'george harrison', 'ringo starr', 'wilfrid brambell'] richard lester ['adolescence', 'culture clash', 'press conference', 'behind the scenes', 'police chase'] capturing john lennon, paul mccartney, george harrison and ringo starr in their electrifying element, 'a hard day's night' is a wildly irreverent journey through this pastiche of a day in the life of the beatles during 1964. the band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of paul's troublemaking grandfather and ringo's arrest. hard day's night, a  ['adventure', 'comedy', 'musical']"
1788,"['audrey hepburn', 'rex harrison', 'stanley holloway', 'wilfrid hyde-white', 'gladys cooper'] george cukor ['musical', 'transformation', 'flower girl', 'colonel', 'wager'] a misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society. my fair lady  ['comedy', 'drama', 'musical', 'romance']"
1789,"['malcolm mcdowell', 'patrick magee', 'adrienne corri', 'michael bates', 'warren clarke'] stanley kubrick ['prison', 'street gang', 'rape', 'adolescence', 'sexuality'] the head of a gang of toughs, in an insensitive futuristic society, is conditioned to become physically ill at sex and violence during a prison sentence. when he is released, he's brutally beaten by all of his old adversaries. clockwork orange, a  ['crime', 'drama', 'sci-fi', 'thriller']"
1790,"['gene wilder', 'jack albertson', 'peter ostrum', 'roy kinnear', 'denise nickerson'] mel stuart ['chocolate', 'factory worker', 'based on novel', 'candy', 'tv addicted person'] eccentric candy man willy wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. but does wonka have an agenda hidden amid a world of oompa loompas and chocolate rivers? willy wonka & the chocolate factory  ['children', 'comedy', 'fantasy', 'musical']"
1791,"['sean connery', 'jill st. john', 'charles gray', 'lana wood', 'jimmy dean'] guy hamilton ['satellite', 'plastic surgery', 'smuggling', 'murder', 'extortion'] diamonds are stolen only to be sold again in the international market. james bond infiltrates a smuggling mission to find out whoâ€™s guilty. the mission takes him to las vegas where bond meets his archenemy blofeld. diamonds are forever  ['action', 'adventure', 'thriller']"
